season_num,episode_num,aired_date,cnt_kirk_hookups,cnt_downed_redshirts,bool_aliens_almost_took_over_planet,bool_aliens_almost_took_over_enterprise,cnt_vulcan_nerve_pinch,cnt_warp_speed_orders,highest_warp_speed_issued,bool_hand_phasers_fired,bool_ship_phasers_fired,bool_ship_photon_torpedos_fired,cnt_transporter_pax,cnt_damn_it_jim_quote,cnt_im_givin_her_all_shes_got_quote,cnt_highly_illogical_quote,bool_enterprise_saved_the_day
1,0,1965-02-28,0,0,0,1,0,1,1,1,0,0,6,0,0,0,0
1,1,1966-09-08,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1
1,2,1966-09-15,0,0,0,1,0,1,1,1,0,0,5,0,0,0,0
1,3,1966-09-22,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1
1,4,1966-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1966-10-06,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,6,1966-10-13,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0
1,7,1966-10-20,2,2,1,0,0,0,0,1,0,0,2,0,0,0,0
1,8,1966-10-27,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0
1,9,1966-11-03,2,3,0,1,1,1,1,0,0,0,3,0,0,0,0
1,10,1966-11-10,0,0,0,1,0,5,1,0,1,0,3,0,0,0,0
1,11,1966-11-17,0,0,0,0,2,1,7,1,0,0,11,0,0,0,0
1,12,1966-11-24,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
1,13,1966-12-08,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0
1,14,1966-12-15,0,0,0,0,0,3,7,0,1,0,0,0,0,0,1
1,15,1966-12-29,1,1,0,0,0,1,1,1,0,0,3,0,0,2,0
1,16,1967-01-05,0,0,0,0,0,1,1,1,0,0,5,0,0,3,0
1,17,1967-01-12,0,0,1,0,0,2,7,1,0,0,8,0,0,0,0
1,18,1967-01-19,0,1,0,1,0,2,8,0,1,1,6,0,0,0,0
1,19,1967-01-26,0,0,0,0,2,1,3,0,0,0,9,0,0,0,1
1,20,1967-02-02,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,21,1967-02-09,0,0,0,1,0,0,0,1,0,0,7,0,0,1,0
1,22,1967-02-16,0,4,0,1,1,0,2,0,0,0,4,0,0,2,0
1,23,1967-02-23,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0
1,24,1967-03-02,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0
1,25,1967-03-09,0,4,1,0,0,1,2,1,0,0,3,0,0,0,0
1,26,1967-03-23,0,0,1,0,1,1,7,1,1,0,2,0,0,0,0
1,27,1967-03-30,0,2,1,1,0,1,1,0,1,0,8,0,0,1,1
1,28,1967-04-06,1,1,0,0,2,0,0,1,0,0,12,0,0,0,0
1,29,1967-04-13,0,1,1,1,2,2,8,1,0,0,8,0,0,0,1
